Ticker,Company,Sector,Industry,Country,Volume,Price,stak score
SPUU,Direxion Daily S&P 500 Bull 2X Shares,Financial,Exchange Traded Fund,USA,9852,56.97,-0.075
SPVU,Invesco S&P 500 Enhanced Value ETF,Financial,Exchange Traded Fund,USA,19500,34.55,0.624
SPWH,"Sportsman's Warehouse Holdings, Inc.",Consumer Goods,Sporting Goods,USA,209676,3.75,-0.365
SPWR,SunPower Corporation,Technology,Semiconductor - Specialized,USA,2555782,10.47,-0.866
SPXB,ProShares S&P 500 Bond ETF,Financial,Exchange Traded Fund,USA,1806,85.59,-0.556
SPXC,SPX Corporation,Industrial Goods,Diversified Machinery,USA,172625,32.74,0.247
SPXE,ProShares S&P 500 ex-Energy ETF,Financial,Exchange Traded Fund,USA,2,62.8,-0.375
SPXL,Direxion Daily S&P500 Bull 3X Shares,Financial,Exchange Traded Fund,USA,4095175,52.41,-0.034
SPXN,ProShares S&P 500 ex-Financials ETF,Financial,Exchange Traded Fund,USA,52,61.41,0.368
SPXS,Direxion Daily S&P 500 Bear 3X Shares,Financial,Exchange Traded Fund,USA,7788258,18.22,0.345
SPXT,ProShares S&P 500 ex-Technology ETF,Financial,Exchange Traded Fund,USA,0,55.04,-0.239
SPXU,ProShares UltraPro Short S&P500,Financial,Exchange Traded Fund,USA,5250940,27.56,0.223
SPXV,ProShares S&P 500 ex-Health Care ETF,Financial,Exchange Traded Fund,USA,0,61.26,-0.52
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,Financial,Closed-End Fund - Equity,USA,35081,15.78,0.106
SPY,SPDR S&P 500 ETF,Financial,Exchange Traded Fund,USA,116621812,295.86,0.34600000000000003
SPYB,SPDR S&P 500 Buyback ETF,Financial,Exchange Traded Fund,USA,1741,67.11,0.434
SPYD,SPDR Portfolio S&P 500 High Dividend ETF,Financial,Exchange Traded Fund,USA,610952,38.49,0.085
SPYG,SPDR Portfolio S&P 500 Growth ETF,Financial,Exchange Traded Fund,USA,1366109,39.25,-0.23600000000000002
SPYV,SPDR Portfolio S&P 500 Value ETF,Financial,Exchange Traded Fund,USA,1092453,31.43,0.023
SPYX,SPDR S&P 500 Fossil Fuel Reserves Free ETF,Financial,Exchange Traded Fund,USA,19393,72.25,0.318
SQ,"Square, Inc.",Technology,Internet Software & Services,USA,8787004,74.42,0.545
SQBG,"Sequential Brands Group, Inc.",Consumer Goods,Textile - Apparel Clothing,USA,72012,0.54,-0.242
SQLV,Legg Mason Small-Cap Quality Value ETF,Financial,Exchange Traded Fund,USA,1,25.86,0.43200000000000005
SQM,Sociedad Quimica y Minera de Chile S.A.,Basic Materials,Chemicals - Major Diversified,Chile,506199,31.53,-0.544
SQNS,Sequans Communications S.A.,Technology,Semiconductor - Integrated Circuits,France,62895,0.9,-0.012
SQQQ,ProShares UltraPro Short QQQ,Financial,Exchange Traded Fund,USA,12360269,34.45,0.21100000000000002
SR,Spire Inc.,Utilities,Gas Utilities,USA,184100,85.34,-0.809
SRAX,"Social Reality, Inc.",Services,Advertising Agencies,USA,158581,4.64,0.588
SRC,"Spirit Realty Capital, Inc.",Financial,REIT - Diversified,USA,765494,45.14,0.08
SRCE,1st Source Corporation,Financial,Regional - Midwest Banks,USA,35633,44.95,0.6409999999999999
SRCI,SRC Energy Inc.,Basic Materials,Industrial Metals & Minerals,USA,6982127,4.78,0.29600000000000004
SRCL,"Stericycle, Inc.",Industrial Goods,Waste Management,USA,960281,46.99,-0.446
SRDX,"Surmodics, Inc.",Healthcare,Diagnostic Substances,USA,145159,44.69,-0.086
SRE,Sempra Energy,Utilities,Diversified Utilities,USA,1037585,140.32,-0.741
SRET,Global X SuperDividend REIT ETF,Financial,Exchange Traded Fund,USA,253514,14.93,-0.285
SREV,"ServiceSource International, Inc.",Technology,Business Software & Services,USA,425777,1.01,0.355
SRF,The Cushing Energy Income Fund,Financial,Asset Management,USA,2491,6.95,0.22899999999999998
SRG,Seritage Growth Properties,Financial,REIT - Diversified,USA,86103,43.35,-0.27399999999999997
SRI,"Stoneridge, Inc.",Consumer Goods,Auto Parts,USA,489561,31.69,-0.028999999999999998
SRL,Scully Royalty Ltd.,Financial,Asset Management,Hong Kong,10664,12.18,-0.27899999999999997
SRLN,SPDR Blackstone / GSO Senior Loan ETF,Financial,Exchange Traded Fund,USA,197452,46.2,0.22
SRLP,Sprague Resources LP,Basic Materials,Oil & Gas Refining & Marketing,USA,42989,17.77,-0.122
SRNE,"Sorrento Therapeutics, Inc.",Healthcare,Biotechnology,USA,974803,3.86,-0.37200000000000005
SRPT,"Sarepta Therapeutics, Inc.",Healthcare,Biotechnology,USA,998339,130.19,0.171
SRRA,"Sierra Oncology, Inc.",Healthcare,Biotechnology,Canada,531294,0.65,0.324
SRRK,Scholar Rock Holding Corporation,Healthcare,Biotechnology,USA,1353273,14.61,-0.22899999999999998
SRS,ProShares UltraShort Real Estate,Financial,Exchange Traded Fund,USA,21621,20.46,0.794
SRT,"StarTek, Inc.",Services,Business Services,USA,42616,7.9,-0.10800000000000001
SRTS,"Sensus Healthcare, Inc.",Healthcare,Medical Instruments & Supplies,USA,18459,5.49,0.469
SRTY,ProShares UltraPro Short Russell2000,Financial,Exchange Traded Fund,USA,1012647,23.71,-0.687
SRV,Cushing MLP Total Return Fund,Financial,Closed-End Fund - Equity,USA,25015,10.12,0.085
SRVR,Pacer Benchmark Data & Infrastructure Real Estate SCTR ETF,Financial,Exchange Traded Fund,USA,76198,30.71,0.11
SSB,South State Corporation,Financial,Regional - Mid-Atlantic Banks,USA,182977,73.3,-0.11699999999999999
SSBI,Summit State Bank,Financial,Regional - Pacific Banks,USA,392,11.26,0.7909999999999999
SSD,"Simpson Manufacturing Co., Inc.",Industrial Goods,Small Tools & Accessories,USA,206124,65.36,0.45899999999999996
SSFN,Stewardship Financial Corporation,Financial,Regional - Northeast Banks,USA,143823,15.38,-0.47600000000000003
SSG,ProShares UltraShort Semiconductors,Financial,Exchange Traded Fund,USA,17895,26.58,-0.628
SSI,"Stage Stores, Inc.",Services,Apparel Stores,USA,183433,0.77,0.023
SSKN,"STRATA Skin Sciences, Inc.",Healthcare,Medical Instruments & Supplies,USA,43538,2.29,-0.027999999999999997
SSL,Sasol Limited,Basic Materials,Major Integrated Oil & Gas,South Africa,200520,25.73,0.19
SSNC,"SS&C Technologies Holdings, Inc.",Technology,Business Software & Services,USA,952710,58.64,0.5429999999999999
SSNT,"SilverSun Technologies, Inc.",Technology,Application Software,USA,420,2.4,0.6
SSO,ProShares Ultra S&P500,Financial,Exchange Traded Fund,USA,1064661,127.48,0.249
SSP,The E.W. Scripps Company,Services,Broadcasting - TV,USA,228978,15.08,-0.284
SSRM,SSR Mining Inc.,Basic Materials,Gold,Canada,2270757,13.52,-0.057999999999999996
SSTI,"ShotSpotter, Inc.",Technology,Application Software,USA,102158,44.08,-0.389
SSTK,"Shutterstock, Inc.",Services,Business Services,USA,92185,39.84,-0.08800000000000001
SSW,Seaspan Corporation,Services,Shipping,Hong Kong,819806,9.41,0.264
SSY,"SunLink Health Systems, Inc.",Healthcare,Hospitals,USA,4105,1.48,-0.11699999999999999
SSYS,Stratasys Ltd.,Technology,Computer Peripherals,USA,270946,23.73,0.121
ST,Sensata Technologies Holding plc,Technology,Scientific & Technical Instruments,Netherlands,429295,48.44,0.41100000000000003
STAA,STAAR Surgical Company,Healthcare,Medical Instruments & Supplies,USA,468683,29.39,-0.27
STAF,"Staffing 360 Solutions, Inc.",Services,Staffing & Outsourcing Services,USA,78020,1.54,0.278
STAG,"STAG Industrial, Inc.",Financial,REIT - Industrial,USA,681952,31.56,0.721
STAR,iStar Inc.,Financial,REIT - Diversified,USA,705833,12.05,0.831
STAY,"Extended Stay America, Inc.",Services,Lodging,USA,1716024,17.15,0.39299999999999996
STBA,"S&T Bancorp, Inc.",Financial,Regional - Northeast Banks,USA,135362,37.34,0.752
STC,Stewart Information Services Corporation,Financial,Property & Casualty Insurance,USA,83259,41.76,0.805
STCN,"Steel Connect, Inc.",Services,Business Services,USA,14301,1.8,-0.46
STE,STERIS plc,Healthcare,Medical Instruments & Supplies,USA,237931,145.33,-0.16
